id,start_date,phase,status,therapeutic_area,sponsor,country,enrollment,sites
1008,2024-01-26,Phase 3,Recruiting,Infectious Disease,argenx,NL,864,78
1136,2024-02-08,Phase 2,Completed,Infectious Disease,Galapagos,DE,265,20
1022,2024-02-15,Phase 2,Active,Oncology,Pfizer,US,222,6
1042,2024-02-22,Phase 3,Completed,Cardiology,Roche,US,1573,78
1003,2024-03-07,Phase 2,Completed,Neurology,Roche,DE,161,4
1138,2024-03-09,Phase 3,Active,Oncology,UCB,FR,1521,89
1072,2024-03-10,Phase 2,Recruiting,Cardiology,Genmab,FR,179,6
1028,2024-03-22,Phase 2,Recruiting,Cardiology,Novartis,DE,240,10
1123,2024-03-22,Phase 1,Active,Neurology,Roche,BE,105,4
1117,2024-03-24,Phase 3,Completed,Neurology,Galapagos,BE,232,12
1048,2024-04-05,Phase 3,Recruiting,Neurology,Novartis,BE,1626,50
1038,2024-04-08,Phase 1,Active,Neurology,Genmab,NL,45,1
1078,2024-04-10,Phase 1,Active,Cardiology,Novartis,US,108,2
1122,2024-04-14,Phase 3,Completed,Immunology,argenx,DE,640,18
1085,2024-04-17,Phase 2,Terminated,Neurology,Galapagos,US,357,9
1118,2024-04-20,Phase 2,Active,Oncology,Genmab,US,383,27
1051,2024-04-27,Phase 4,Active,Neurology,Novartis,US,312,8
1070,2024-05-08,Phase 3,Active,Neurology,Genmab,NL,1639,44
1055,2024-05-14,Phase 2,Completed,Infectious Disease,Janssen,DE,359,16
1090,2024-05-27,Phase 2,Completed,Rare Disease,Novartis,UK,216,27
1057,2024-06-07,Phase 2,Completed,Oncology,Janssen,DE,173,15
1084,2024-06-09,Phase 2,Active,Oncology,argenx,UK,285,28
1054,2024-06-10,Phase 2,Completed,Rare Disease,Pfizer,US,90,2
1052,2024-06-11,Phase 3,Recruiting,Cardiology,Pfizer,BE,358,13
1053,2024-06-18,Phase 2,Recruiting,Oncology,Janssen,BE,189,15
1021,2024-06-26,Phase 2,Completed,Neurology,Pfizer,NL,130,11
1135,2024-07-01,Phase 2,Active,Oncology,Roche,BE,287,8
1083,2024-07-11,Phase 4,Active,Oncology,argenx,BE,653,50
1024,2024-08-10,Phase 4,Recruiting,Rare Disease,Galapagos,UK,152,4
1129,2024-08-11,Phase 4,Recruiting,Immunology,Genmab,NL,693,33
1080,2024-08-23,Phase 1,Recruiting,Rare Disease,argenx,DE,59,2
1079,2024-09-08,Phase 3,Terminated,Neurology,Novartis,UK,1480,74
1132,2024-10-02,Phase 2,Completed,Immunology,Genmab,NL,103,4
1069,2024-10-12,Phase 1,Recruiting,Neurology,Janssen,FR,71,3
1067,2024-10-23,Phase 2,Active,Neurology,Pfizer,FR,212,7
1139,2024-10-25,Phase 3,Recruiting,Rare Disease,Janssen,US,1782,45
1045,2024-11-07,Phase 2,Completed,Oncology,Janssen,US,244,6
1134,2024-12-02,Phase 2,Completed,Immunology,Galapagos,DE,261,21
1097,2024-12-10,Phase 1,Terminated,Oncology,Roche,BE,117,8
1041,2024-12-14,Phase 4,Recruiting,Neurology,Genmab,UK,740,37
1065,2024-12-19,Phase 3,Active,Oncology,argenx,US,1190,32
1027,2025-01-20,Phase 4,Active,Oncology,Genmab,US,733,31
1005,2025-01-22,Phase 2,Completed,Oncology,UCB,NL,265,13
1087,2025-02-08,Phase 3,Completed,Immunology,Roche,UK,836,104
1131,2025-02-12,Phase 2,Active,Immunology,Galapagos,NL,219,10
1063,2025-02-17,Phase 3,Recruiting,Rare Disease,Novartis,BE,1291,36
1137,2025-02-17,Phase 4,Completed,Oncology,Novartis,FR,376,12
1012,2025-02-22,Phase 2,Recruiting,Cardiology,Pfizer,US,363,45
1116,2025-02-22,Phase 2,Terminated,Cardiology,Pfizer,BE,146,6
1121,2025-02-26,Phase 4,Active,Neurology,Novartis,US,614,15
1014,2025-03-12,Phase 4,Completed,Oncology,Pfizer,FR,455,11
1082,2025-03-16,Phase 3,Completed,Infectious Disease,Janssen,DE,242,9
1089,2025-03-28,Phase 2,Active,Oncology,Genmab,US,386,9
1007,2025-04-06,Phase 4,Completed,Oncology,Janssen,NL,773,42
1112,2025-04-15,Phase 3,Terminated,Rare Disease,Janssen,NL,772,77
1018,2025-04-19,Phase 1,Recruiting,Cardiology,UCB,BE,63,7
1096,2025-04-21,Phase 3,Completed,Infectious Disease,Novartis,NL,1199,119
1068,2025-04-23,Phase 1,Recruiting,Cardiology,Janssen,US,72,1
1044,2025-05-13,Phase 3,Active,Oncology,Janssen,BE,1732,91
1088,2025-05-14,Phase 1,Completed,Cardiology,Pfizer,UK,83,3
1032,2025-05-17,Phase 2,Completed,Cardiology,Janssen,UK,255,12
1061,2025-05-19,Phase 3,Recruiting,Immunology,Novartis,UK,837,59
1019,2025-05-22,Phase 2,Terminated,Immunology,Janssen,FR,249,20
1077,2025-05-22,Phase 1,Terminated,Cardiology,Genmab,NL,32,1
1006,2025-06-06,Phase 2,Recruiting,Oncology,Galapagos,NL,222,6
1060,2025-06-06,Phase 3,Completed,Oncology,Novartis,UK,646,17
1103,2025-06-08,Phase 2,Terminated,Immunology,Novartis,US,226,10
1043,2025-06-13,Phase 1,Terminated,Immunology,Novartis,FR,84,3
1095,2025-06-28,Phase 4,Active,Cardiology,Novartis,FR,859,26
1064,2025-07-06,Phase 2,Active,Neurology,Novartis,UK,265,7
1009,2025-07-21,Phase 4,Completed,Oncology,Janssen,NL,472,22
1017,2025-07-22,Phase 2,Completed,Oncology,Novartis,DE,188,9
1039,2025-07-22,Phase 4,Terminated,Neurology,Roche,FR,435,14
1094,2025-07-28,Phase 3,Recruiting,Oncology,Novartis,BE,1135,141
1073,2025-08-04,Phase 4,Completed,Oncology,Pfizer,FR,864,54
1091,2025-09-13,Phase 1,Active,Cardiology,Janssen,DE,64,2
1046,2025-10-11,Phase 3,Completed,Infectious Disease,Genmab,UK,781,19
1098,2025-10-22,Phase 2,Active,Rare Disease,Pfizer,BE,154,6
1066,2025-11-13,Phase 1,Completed,Rare Disease,argenx,FR,51,1
1011,2025-11-14,Phase 1,Recruiting,Cardiology,Novartis,DE,34,2
1001,2025-11-24,Phase 1,Recruiting,Immunology,Pfizer,BE,48,3
1109,2025-11-27,Phase 4,Active,Immunology,Janssen,US,774,35
1127,2025-11-27,Phase 3,Completed,Cardiology,Novartis,BE,1582,175
1111,2025-12-05,Phase 2,Terminated,Neurology,Pfizer,US,356,10
1002,2025-12-21,Phase 1,Recruiting,Neurology,Novartis,DE,84,9
1104,2026-01-10,Phase 3,Completed,Immunology,Pfizer,BE,480,34
1056,2026-01-13,Phase 3,Completed,Immunology,Novartis,US,1157,72
1124,2026-01-19,Phase 1,Recruiting,Rare Disease,Roche,FR,114,3
1110,2026-02-04,Phase 1,Recruiting,Immunology,UCB,FR,24,1
1016,2026-03-05,Phase 3,Recruiting,Oncology,Novartis,UK,1698,43
1099,2026-03-08,Phase 4,Completed,Oncology,Janssen,NL,396,10
1031,2026-03-09,Phase 3,Completed,Cardiology,Genmab,BE,1558,111
1093,2026-03-17,Phase 3,Completed,Neurology,Roche,DE,511,13
1034,2026-03-18,Phase 3,Completed,Neurology,Genmab,DE,429,35
1020,2026-04-04,Phase 4,Completed,Immunology,Genmab,DE,398,10
1023,2026-04-06,Phase 3,Active,Oncology,Galapagos,FR,230,17
1037,2026-04-09,Phase 2,Recruiting,Oncology,Genmab,US,250,7
1115,2026-04-11,Phase 3,Completed,Oncology,Pfizer,US,1400,66
1035,2026-04-22,Phase 2,Recruiting,Cardiology,UCB,BE,266,26
1059,2026-04-27,Phase 2,Recruiting,Infectious Disease,Genmab,BE,100,11
1036,2026-04-28,Phase 4,Active,Rare Disease,UCB,US,785,46
1125,2026-05-12,Phase 2,Completed,Immunology,Genmab,FR,296,26
1030,2026-05-20,Phase 4,Active,Infectious Disease,Roche,US,311,8
1106,2026-05-24,Phase 4,Completed,Cardiology,Pfizer,US,413,10
1076,2026-05-28,Phase 3,Completed,Cardiology,Novartis,DE,979,27
1107,2026-06-03,Phase 1,Completed,Cardiology,Pfizer,BE,48,1
1108,2026-06-04,Phase 2,Completed,Cardiology,Novartis,DE,214,6
1081,2026-06-20,Phase 2,Active,Oncology,UCB,BE,386,38
1010,2026-07-12,Phase 3,Recruiting,Oncology,UCB,UK,1397,39
1119,2026-07-14,Phase 2,Active,Rare Disease,Novartis,FR,95,8
1058,2026-08-01,Phase 2,Terminated,Rare Disease,Pfizer,BE,295,12
1074,2026-08-04,Phase 2,Recruiting,Cardiology,Pfizer,DE,106,4
1004,2026-08-18,Phase 1,Completed,Oncology,Genmab,UK,97,4
1050,2026-08-20,Phase 1,Recruiting,Infectious Disease,Pfizer,UK,79,2
1086,2026-08-23,Phase 3,Recruiting,Immunology,Janssen,BE,1324,82
