date,symbol,open,high,low,close,volume
2026-06-30,U,27.87,28.90,27.80,28.58,5598155
2026-07-01,RBLX,55.46,58.43,55.01,57.95,13709782
2026-07-01,U,29.18,31.21,28.94,30.19,9321285
2026-07-02,RBLX,54.40,56.0499,53.30,55.41,8722262
2026-07-02,U,29.90,30.51,28.64,29.32,7667922
2026-07-06,RBLX,55.11,58.40,54.98,57.03,7864238
2026-07-06,U,28.94,30.24,28.85,29.65,5658665
2026-07-07,RBLX,57.38,58.0949,56.20,56.71,7311045
2026-07-07,U,30.24,30.70,29.33,29.66,6341892
2026-07-08,RBLX,55.84,55.92,53.56,55.12,6157456
2026-07-08,U,28.89,29.49,28.30,29.46,4290382
2026-07-09,RBLX,54.37,56.45,54.37,56.43,6061877
2026-07-09,U,28.82,30.80,28.75,30.73,6324806
2026-07-10,RBLX,57.66,58.10,54.20,55.35,6418254
2026-07-10,U,32.24,33.05,30.77,30.89,13026697
2026-07-13,RBLX,55.53,57.545,55.03,55.03,6296844
2026-07-13,U,31.00,31.10,29.65,30.68,6698353
2026-07-14,RBLX,54.87,55.36,53.89,54.47,5298289
2026-07-14,U,29.93,31.85,29.781,31.75,5596226
2026-07-15,RBLX,56.00,57.225,55.09,57.07,6443578
2026-07-15,U,32.17,32.37,30.86,31.27,7515043
2026-07-16,RBLX,56.91,57.48,53.63,54.01,8761634
2026-07-16,U,31.26,31.785,29.905,30.19,4633055
2026-07-17,RBLX,52.18,52.80,50.56,51.68,7403466
2026-07-17,U,29.02,29.69,28.62,28.99,6244808
2026-07-20,RBLX,52.00,55.42,51.74,53.25,9517047
2026-07-20,U,28.87,30.65,28.795,29.81,6971818
2026-07-21,RBLX,52.82,53.96,52.44,52.50,5351152
2026-07-21,U,29.88,30.675,29.69,29.87,9567589
2026-07-22,RBLX,52.41,52.535,49.61,49.64,5892458
2026-07-22,U,30.08,30.08,28.87,29.27,6870450
2026-07-23,RBLX,48.70,49.00,47.13,47.55,5478820
2026-07-23,U,29.05,29.19,27.83,28.94,7855760
2026-07-24,RBLX,48.162,48.66,47.14,47.55,4720754
2026-07-24,U,29.46,29.53,28.14,28.62,4676396
2026-07-27,RBLX,48.37,48.78,45.76,48.42,8413987
2026-07-27,U,29.52,30.94,29.24,30.44,6932604
2026-07-28,RBLX,48.61,50.69,47.3701,49.50,6622126
2026-07-28,U,30.12,31.87,29.73,31.83,8026570
2026-07-29,RBLX,49.37,51.05,48.60,50.13,6965278
2026-07-29,U,32.105,32.85,31.13,32.04,8145867
2026-07-30,RBLX,49.46,50.92,47.50,48.67,26434179
2026-07-30,U,32.28,33.48,31.705,33.34,8141628
2026-07-31,RBLX,38.88,40.00,33.88,35.60,63121221
2026-07-31,U,32.68,32.84,30.45,31.71,11587845
2026-08-03,RBLX,35.58,37.99,35.03,36.67,25077858
2026-08-03,U,32.575,34.27,32.41,33.38,12846659
2026-08-04,RBLX,36.64,38.28,36.64,37.00,26983558
2026-08-04,U,33.89,35.69,33.49,35.22,15355304
2026-08-05,RBLX,37.45,37.89,35.53,36.19,14982139
2026-08-05,U,36.15,36.5595,35.06,35.47,17457467
2026-08-06,RBLX,35.60,37.085,35.40,36.04,8690569
2026-08-06,U,36.01,41.66,34.80,40.81,41035822
2026-08-07,RBLX,36.79,37.99,36.24,37.79,18477692
2026-08-07,U,42.54,44.38,41.77,43.00,18559608
2026-08-10,RBLX,37.84,39.68,37.04,37.05,14201852
2026-08-10,U,42.74,43.55,42.07,43.10,14606375
2026-08-11,RBLX,36.70,37.455,36.185,36.22,24667877
2026-08-11,U,42.76,43.89,42.10,43.87,11393389
2026-08-12,RBLX,36.30,36.58,35.16,35.54,11282874
2026-08-12,U,43.69,44.57,42.83,44.53,11530756
2026-08-13,RBLX,35.89,38.29,35.41,37.95,11186298
2026-08-13,U,44.615,45.84,44.1028,45.79,12557297
2026-08-14,RBLX,38.49,39.14,37.95,38.23,9555331
2026-08-14,U,45.55,46.39,45.15,46.25,9591112
2026-08-17,RBLX,38.075,38.64,37.43,37.93,10833255
2026-08-17,U,46.21,46.68,45.02,45.45,9970751
2026-08-18,RBLX,37.85,38.78,37.62,37.67,8055679
2026-08-18,U,45.50,47.25,45.21,46.74,11831521
2026-08-19,RBLX,38.06,40.19,37.82,38.69,12906537
2026-08-19,U,46.58,47.70,46.305,47.11,10214834
2026-08-20,RBLX,38.54,39.10,37.20,38.63,11458799
2026-08-20,U,47.25,48.46,45.76,46.54,12191524
2026-08-21,RBLX,38.74,39.375,38.06,38.37,9810112
2026-08-21,U,46.77,46.97,46.00,46.93,7498284
2026-08-24,RBLX,38.56,39.98,38.3301,38.76,8337583
2026-08-24,U,46.76,46.90,45.96,46.16,9377600
2026-08-25,RBLX,38.89,39.95,38.215,39.12,8208357
2026-08-25,U,46.04,46.20,44.7926,44.99,9100875
2026-08-26,RBLX,39.04,39.95,37.405,37.56,11635289
2026-08-26,U,44.28,45.57,44.05,44.38,8951791
2026-08-27,RBLX,37.75,38.595,37.31,38.15,11486437
2026-08-27,U,44.81,45.00,43.24,43.49,11275304
2026-08-28,RBLX,38.50,39.35,37.9804,38.53,7738625
2026-08-28,U,43.02,44.00,42.75,43.31,7637445
2026-08-31,RBLX,38.58,41.58,38.26,41.29,19571184
2026-08-31,U,43.46,43.80,41.60,42.10,12891624
2026-09-01,RBLX,40.80,40.99,39.35,40.67,9240256
2026-09-01,U,41.22,41.99,40.80,40.92,9021780
2026-09-02,RBLX,39.89,41.28,39.3738,41.21,6545865
2026-09-02,U,40.42,41.57,40.22,40.76,7434037
2026-09-03,RBLX,41.75,43.2839,41.2407,41.51,7907231
2026-09-03,U,41.30,43.54,40.995,42.08,10624334
2026-09-04,RBLX,41.45,43.46,41.31,43.31,9982153
2026-09-04,U,41.46,41.84,40.88,41.66,5201191
2026-09-08,RBLX,44.56,45.76,43.18,44.82,13941091
2026-09-08,U,41.50,42.92,40.67,42.75,10239404
2026-09-09,RBLX,44.51,45.05,43.50,44.52,8632888
2026-09-09,U,43.18,43.18,41.80,42.54,7213010
2026-09-10,RBLX,45.09,45.77,44.11,44.88,6488920
2026-09-10,U,41.61,42.70,40.81,42.07,11161356
2026-09-11,RBLX,45.30,46.50,45.19,45.50,6353466
2026-09-11,U,42.01,44.24,41.99,43.96,7920224
2026-09-14,RBLX,47.50,51.30,46.7301,51.29,18634232
2026-09-14,U,44.37,44.62,42.64,43.45,7492072
2026-09-15,RBLX,50.52,51.27,49.90,50.24,8012329
2026-09-15,U,43.01,43.675,42.46,43.01,6766617
2026-09-16,RBLX,50.11,50.3448,47.24,47.43,9083270
2026-09-16,U,42.93,43.40,41.64,42.13,5801291
2026-09-17,RBLX,48.15,48.79,46.85,47.50,6547599
2026-09-17,U,42.50,43.00,41.77,41.84,3965121
2026-09-18,RBLX,47.55,48.14,46.26,47.82,13056445
2026-09-18,U,41.99,42.19,40.79,41.40,14333528
